village_name,location_code,area_ha,population,households,primary_school,middle_school,secondary_school,senior_secondary_school,chc,phc,phs,hospital_allopathic,dispensary,medicine_shop,tap_water,well_water,hand_pump,tube_well,river_canal,pond_lake,community_toilet_bath,community_toilet,mobile_coverage,internet_csc,bus_service,railway_station,auto,taxi,national_highway,state_highway,major_district_road,other_district_road,pucca_roads,kutcha_roads,footpaths,bank,atm,agricultural_credit_society,pds_shop,icds,anganwadi,asha,electricity_domestic,electricity_agricultural,electricity_commercial,electricity_all_uses,forest_ha,non_agricultural_ha,barren_uncultivable_ha,pasture_ha,culturable_waste_ha,fallow_ha,current_fallow_ha,net_area_sown_ha,irrigated_ha,unirrigated_ha,primary_school_score,middle_school_score,secondary_school_score,senior_secondary_school_score,phs_score,phc_score,hospital_allopathic_score,tap_water_score,tube_well_score,mobile_coverage_score,internet_csc_score,bus_service_score,pucca_roads_score,bank_score,pds_shop_score,anganwadi_score,asha_score,electricity_all_uses_score,amenity_score,space_per_person,capacity_score,railway_station_score,auto_score,taxi_score,national_highway_score,state_highway_score,major_district_road_score,other_district_road_score,footpaths_score,accessibility_score,non_agri_ratio,barren_ratio,forest_ratio,usable_land_ratio,environment_raw,environment_score,relocation_score,relocation_score_100,rank,slope_mean,censuscode2011_x,flood_risk,flood_class,censuscode2011_y,landslide_risk,slope_risk,safety_score,final_relocation_score,final_relocation_score_100,final_rank,hub_distance_km
Lazai Gaon Pather,291177,65.2,534,106,1,a,a,a,,,,,,1.0,No,Yes,Yes,Yes,No,No,Yes,No,Yes,c,a,c,a,a,a,a,a,Yes,b,Yes,Yes,a,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,5.2,0.0,0.0,43.4,0.0,0.0,16.6,0.0,16.6,1.0,0.75,0.75,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.75,0.5,0.75,0.75,1.0,1.0,0.0,0.5694444444444444,0.1220973782771535,0.1743165514666644,0.25,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.725,0.0797546012269938,0.0,0.0,0.665644171779141,0.8328220858895705,0.8046874247575388,0.564377733929285,56.437773392928506,124,1.0,291177,0.0,Not listed,291177.0,0.193,0.0505598708243679,0.9319880258351264,0.6820774619143476,68.20774619143477,11,22.502
Teloibari Nepali,291881,109.6,1799,402,2,3,b,b,1.0,1.0,1.0,,,1.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,b,Yes,b,Yes,Yes,a,b,Yes,Yes,Yes,Yes,Yes,b,b,c,Yes,Yes,Yes,Yes,Yes,No,No,No,0.0,18.1,0.0,28.4,1.4,0.0,1.0,53.3,0.0,53.3,1.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.7777777777777778,0.0609227348526959,0.3442981536683761,0.5,1.0,1.0,0.75,0.5,1.0,1.0,1.0,0.875,0.1651459854014599,0.0,0.0,0.0218978102189781,0.5109489051094891,0.3953981367954257,0.6220986102206236,62.20986102206236,21,1.0,291881,0.0,Not listed,291881.0,0.239,0.161513045508995,0.895997390898201,0.6787832152956883,67.87832152956884,12,28.083
Moran Chah Comp. 18/39 No Fs,291978,190.9,1579,320,2,2,a,a,,,,,,1.0,Yes,No,Yes,Yes,No,No,No,No,Yes,b,Yes,a,a,a,Yes,b,Yes,Yes,Yes,Yes,Yes,c,a,b,a,b,Yes,Yes,Yes,Yes,Yes,No,0.0,20.1,10.3,0.0,0.0,10.1,0.0,10.0,0.0,10.0,1.0,1.0,0.75,0.75,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.25,0.75,1.0,1.0,0.0,0.6666666666666666,0.1208993033565547,0.2885739275808008,0.75,0.75,0.75,1.0,0.5,1.0,1.0,1.0,0.875,0.1052907281299109,0.0539549502357255,0.0,0.0529072812991094,0.5102671555788372,0.3945312339385528,0.5802163953495776,58.02163953495776,80,1.0,291978,0.0,Not listed,291978.0,0.156,0.136956444124262,0.9258087111751476,0.6766466514560423,67.66466514560423,13,35.18
Mankata T.E. 1/159 Rra (A),291090,256.0,5461,1288,1,a,a,a,,,1.0,,,1.0,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,a,Yes,a,Yes,Yes,a,a,a,Yes,Yes,Yes,Yes,Yes,a,a,Yes,a,Yes,Yes,Yes,No,Yes,No,0.0,80.4,0.0,0.0,0.0,0.0,0.0,165.2,0.0,165.2,1.0,0.75,0.75,0.75,1.0,0.0,0.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7777777777777778,0.0468778611975828,0.4011088061781294,0.75,1.0,1.0,0.75,0.75,0.75,1.0,1.0,0.9,0.3140625,0.0,0.0,0.0,0.5,0.3814756671899529,0.6410167794269674,64.10167794269674,12,1.0,291090,0.0,Not listed,291090.0,0.457,0.0788806194533731,0.8471238761093254,0.6763481020667554,67.63481020667554,14,3.281
Sepon Chah Bagicha 107/110 Nlr,291958,123.5,1632,342,2,2,1,c,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,c,Yes,c,c,Yes,Yes,b,Yes,Yes,Yes,Yes,Yes,b,c,b,a,Yes,Yes,Yes,Yes,No,Yes,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.5,0.0,123.5,1.0,1.0,1.0,0.25,0.0,0.0,0.0,1.0,1.0,1.0,0.25,1.0,1.0,0.5,0.75,1.0,1.0,0.0,0.6527777777777778,0.0756740196078431,0.2875042099625658,0.25,0.25,1.0,1.0,0.5,1.0,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.5,0.3814756671899529,0.5513656303730765,55.13656303730765,173,1.0,291958,0.0,Not listed,291958.0,0.074,0.0795117905272141,0.9618976418945572,0.6738564593269573,67.38564593269572,15,40.576
Kotoha Gaon,291215,214.7,903,202,2,1,1,b,,,1.0,,,1.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,c,Yes,c,Yes,Yes,Yes,Yes,Yes,Yes,b,Yes,Yes,Yes,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,39.6,0.0,3.0,0.3,0.0,0.0,151.8,0.0,151.8,1.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,1.0,0.25,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.6805555555555556,0.2377630121816168,0.3484809723174176,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.1844434094084769,0.0,0.0,0.0013972985561248,0.5006986492780624,0.382364059521555,0.5962319438725543,59.62319438725543,49,0.997305389226018,291215,0.0,Not listed,291215.0,0.289,0.139176532591555,0.885464693481689,0.6736607294002633,67.36607294002633,16,18.331
Japara Gaon,291256,44.8,1967,406,1,a,a,a,,,,,,1.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,a,Yes,a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,c,a,c,Yes,a,Yes,Yes,Yes,No,No,No,0.0,39.2,0.0,0.0,0.0,0.0,0.0,5.6,0.0,5.6,1.0,0.75,0.75,0.75,0.0,0.0,0.0,1.0,0.0,1.0,0.75,1.0,1.0,0.25,1.0,1.0,1.0,0.0,0.625,0.0227758007117437,0.3433958608766059,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.8750000000000001,0.0,0.0,0.0,0.5,0.3814756671899529,0.6108940986571421,61.0894098657142,29,1.0,291256,0.0,Very Low (1-4),291256.0,0.448,0.143789065799866,0.8368421868400269,0.6728071900336552,67.28071900336552,17,2.694
Niz Lahoal,291286,272.6,2686,600,1,2,a,a,,,1.0,,,1.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,b,Yes,a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,b,b,Yes,b,Yes,Yes,Yes,No,Yes,No,0.0,81.3,0.0,25.5,0.0,0.0,0.0,160.7,0.0,160.7,1.0,1.0,0.75,0.75,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7777777777777778,0.1014892032762472,0.4024005330604106,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.2982391782831988,0.0,0.0,0.0,0.5,0.3814756671899529,0.6638397111475378,66.38397111475378,4,1.0,291286,0.0,Not listed,291286.0,0.562,0.183378846825146,0.7947242306349708,0.670711175597584,67.07111755975839,18,7.848
Borpather Konwar Gaon,291111,349.4,1630,340,3,2,1,a,,,1.0,,,1.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,b,Yes,b,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,b,a,b,Yes,b,Yes,Yes,Yes,No,Yes,No,0.0,60.6,0.0,3.4,2.0,3.9,0.0,268.2,0.0,268.2,1.0,1.0,1.0,0.75,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.7638888888888888,0.2143558282208588,0.3479273201343774,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.1734401831711505,0.0,0.0,0.0168860904407555,0.5084430452203779,0.3922117215518149,0.6413963965661795,64.13963965661796,11,1.0,291111,0.0,Not listed,291111.0,0.414,0.214448263901802,0.8329103472196396,0.6689777271542224,66.89777271542225,19,5.612
Khelmati,291971,199.0,1198,264,1,2,1,1,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,b,Yes,a,a,a,Yes,b,Yes,Yes,b,Yes,Yes,c,a,c,Yes,b,Yes,Yes,Yes,No,No,No,0.0,30.4,10.0,0.0,13.8,0.0,0.0,40.0,0.0,40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,0.25,1.0,1.0,1.0,0.0,0.6805555555555556,0.166110183639399,0.2896433045125895,0.75,0.75,0.75,1.0,0.5,1.0,1.0,1.0,0.825,0.1527638190954773,0.050251256281407,0.0,0.0693467336683417,0.5195979899497487,0.4063961881621609,0.5713289526494684,57.13289526494684,101,1.0,291971,0.0,Not listed,291971.0,0.135,0.171523949812603,0.9251952100374794,0.6684483383674632,66.84483383674632,20,36.758
Digali Dalani Gaon,291122,351.7,739,148,2,1,a,b,,,1.0,,,1.0,No,Yes,Yes,Yes,No,No,No,No,Yes,c,Yes,a,Yes,b,a,a,a,Yes,b,Yes,Yes,b,b,b,Yes,c,Yes,Yes,Yes,No,No,No,0.0,6.2,0.0,179.4,83.8,3.7,0.0,77.3,0.0,77.3,1.0,1.0,0.75,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.6388888888888888,0.475913396481732,0.2398282500388019,0.75,1.0,0.5,0.75,0.75,0.75,1.0,1.0,0.8,0.0176286607904464,0.0,0.0,0.2487915837361387,0.6243957918680694,0.5396555595182673,0.5676103966355761,56.76103966355761,109,1.0,291122,0.0,Not listed,291122.0,0.262,0.0212015759324343,0.9171596848135132,0.667769270362846,66.77692703628459,21,16.595
Dikhari Nepali,291904,84.3,516,116,1,1,1,a,,,,,,0.0,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,b,Yes,b,Yes,Yes,a,Yes,Yes,Yes,b,Yes,Yes,a,b,c,Yes,a,Yes,Yes,Yes,No,No,No,0.0,12.2,4.1,0.0,0.0,0.0,0.0,28.0,0.0,28.0,1.0,1.0,1.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,0.75,1.0,1.0,1.0,0.0,0.6944444444444444,0.1633720930232558,0.2895785402141788,0.5,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.875,0.1447212336892052,0.0486358244365361,0.0,0.0,0.4854092526690391,0.3629222836136919,0.5810902028873942,58.10902028873942,78,1.0,291904,0.0,Not listed,291904.0,0.183,0.155183719561042,0.9140632560877916,0.6674582800307152,66.74582800307152,22,31.236
Gharbondi Chuk Jarua Gaon,291096,230.7,4409,894,3,1,2,a,,,1.0,,,1.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,a,a,a,Yes,a,Yes,Yes,Yes,No,Yes,No,0.0,126.6,0.0,6.4,0.0,0.0,0.0,82.6,0.0,82.6,1.0,1.0,1.0,0.75,1.0,0.0,0.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,1.0,0.0,0.7916666666666666,0.0523247902018598,0.3440947857265692,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5487646293888166,0.0,0.0,0.0,0.5,0.3814756671899529,0.6602354965362995,66.02354965362996,5,1.0,291096,0.0,Not listed,291096.0,0.521,0.169743628671644,0.8097512742656712,0.6671455562164038,66.71455562164039,23,5.497
Chawolkhowa N.C.,291067,375.7,1668,291,3,3,a,a,,,,,,1.0,No,No,Yes,Yes,No,No,No,Yes,Yes,c,Yes,b,Yes,Yes,a,a,a,Yes,Yes,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,26.7,20.1,0.0,20.0,0.0,0.0,294.8,0.0,294.8,1.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,1.0,0.0,0.6111111111111112,0.2252398081534772,0.2910419027271144,0.5,1.0,1.0,0.75,0.75,0.75,1.0,1.0,0.875,0.0710673409635347,0.0535001330849081,0.0,0.0532339632685653,0.5105669417088102,0.3949124376517053,0.5670207409898975,56.70207409898976,111,1.0,291067,0.0,Not listed,291067.0,0.246,0.131798996517697,0.8998402006964606,0.6669334216081186,66.69334216081187,24,17.068
Sarupather No.2,291980,89.0,1143,228,1,2,1,a,,,,,,1.0,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,b,Yes,a,Yes,a,Yes,b,Yes,Yes,b,Yes,Yes,c,a,b,Yes,b,Yes,Yes,Yes,No,No,No,0.0,20.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,1.0,1.0,1.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,0.25,1.0,1.0,1.0,0.0,0.6666666666666666,0.0778652668416448,0.2875560397263089,0.75,1.0,0.75,1.0,0.5,1.0,1.0,1.0,0.85,0.2247191011235955,0.0561797752808988,0.0,0.0,0.4831460674157303,0.3600444499320904,0.565564566584662,56.5564566584662,120,1.0,291980,0.0,Not listed,291980.0,0.182,0.0915644452555076,0.9270871109488984,0.6667305218009502,66.67305218009501,25,33.914
Sarupather No.1,291979,48.8,574,125,1,a,a,a,,,,,,0.0,Yes,No,No,Yes,No,No,No,No,Yes,b,Yes,a,a,a,Yes,b,Yes,Yes,b,Yes,Yes,c,a,b,Yes,b,Yes,Yes,Yes,No,No,No,0.0,10.2,5.0,0.0,5.0,0.0,0.0,18.5,0.0,18.5,1.0,0.75,0.75,0.75,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,0.25,1.0,1.0,1.0,0.0,0.6388888888888888,0.0850174216027874,0.2877252102725646,0.75,0.75,0.75,1.0,0.5,1.0,1.0,1.0,0.825,0.2090163934426229,0.1024590163934426,0.0,0.1024590163934426,0.5204918032786885,0.4075327482821628,0.5606600744467959,56.06600744467959,139,1.0,291979,0.0,Not listed,291979.0,0.17,0.16282535465799,0.916434929068402,0.6646351864378265,66.46351864378265,26,34.601
Lakai Gaon,291103,291.2,2584,480,1,b,b,b,,,1.0,,,3.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,b,Yes,b,Yes,Yes,a,a,a,Yes,Yes,Yes,Yes,a,b,a,Yes,b,Yes,Yes,Yes,No,No,No,0.0,16.2,0.0,2.1,26.8,4.8,0.0,224.4,0.0,224.4,1.0,0.5,0.5,0.5,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.75,1.0,1.0,1.0,0.0,0.7083333333333334,0.1126934984520123,0.3455226920977949,0.5,1.0,1.0,0.75,0.75,0.75,1.0,1.0,0.875,0.0556318681318681,0.0,0.0,0.1085164835164835,0.5542582417582418,0.4504696637742164,0.6160579391126253,61.60579391126253,24,1.0,291103,0.0,Not listed,291103.0,0.449,0.138847382786486,0.8375305234427028,0.6639633319676623,66.39633319676624,27,7.968
Kachamari No.2,291928,122.8,784,144,1,a,b,c,,,,,,0.0,No,Yes,Yes,Yes,No,No,No,No,c,c,a,b,a,a,a,a,a,Yes,b,Yes,Yes,c,b,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,25.0,3.6,0.0,7.9,4.5,6.9,72.8,0.0,72.8,1.0,0.75,0.5,0.25,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.75,0.5,0.25,1.0,1.0,1.0,0.0,0.4722222222222222,0.1566326530612244,0.2322762745045455,0.5,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.2035830618892508,0.0293159609120521,0.0,0.1571661237785016,0.5697882736156352,0.4702174279884843,0.4951681097793888,49.51681097793888,544,1.0,291928,0.0,Not listed,291928.0,0.03,0.15008062295299,0.960983875409402,0.6629952329881698,66.29952329881698,28,39.75
